Rank ,Author                                                 ,Title                                                                                                                                           ,Citations ,Year ,Publisher           ,Venue                                    ,Source                                                                        ,cit/year
   1 ,"K Bharti, A Cervera-Lierta, TH Kyaw, T Haug…"         ,Noisy intermediate-scale quantum algorithms                                                                                                     ,     1505 ,2022 ,APS                 ,Reviews of Modern …                      ,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.94.015004            ,     502
   2 ,"K Zaman, A Marchisio, MA Hanif…"                      ,"A survey on quantum machine learning: Current trends, challenges, opportunities, and the road ahead"                                           ,       17 ,2023 ,arxiv.org           ,arXiv preprint arXiv …                   ,https://arxiv.org/abs/2310.10315                                              ,       8
   3 ,"K Phalak, A Chatterjee, S Ghosh"                      ,Quantum random access memory for dummies                                                                                                        ,       20 ,2023 ,mdpi.com            ,Sensors                                  ,https://www.mdpi.com/1424-8220/23/17/7462                                     ,      10
   4 ,"XM Zhang, T Li, X Yuan"                               ,Quantum state preparation with optimal circuit depth: Implementations and applications                                                          ,      165 ,2022 ,APS                 ,Physical Review Letters                  ,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.129.230504          ,      55
   5 ,"T Hur, L Kim, DK Park"                                ,Quantum convolutional neural network for classical data classification                                                                          ,      214 ,2022 ,Springer            ,Quantum Machine Intelligence             ,https://link.springer.com/article/10.1007/s42484-021-00061-x                  ,      71
   6 ,"R Rietsche, C Dremel, S Bosch, L Steinacker…"         ,Quantum computing                                                                                                                               ,       77 ,2022 ,Springer            ,Electronic Markets                       ,https://link.springer.com/article/10.1007/s12525-022-00570-y                  ,      26
   7 ,"AJ Da Silva, DK Park"                                 ,Linear-depth quantum circuits for multiqubit controlled gates                                                                                   ,       53 ,2022 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.106.042602             ,      18
   8 ,"R Kharsa, A Bouridane, A Amira"                       ,Advances in Quantum Machine Learning and Deep learning for image classification: a Survey                                                       ,       15 ,2023 ,Elsevier            ,Neurocomputing                           ,https://www.sciencedirect.com/science/article/pii/S0925231223009669           ,       8
   9 ,"G Chen, Q Chen, S Long, W Zhu, Z Yuan…"               ,Quantum convolutional neural network for image classification                                                                                   ,       77 ,2023 ,Springer            ,Pattern Analysis and …                   ,https://link.springer.com/article/10.1007/s10044-022-01113-z                  ,      38
  10 ,"S Jaques, AG Rattew"                                  ,Qram: A survey and critique                                                                                                                     ,       33 ,2023 ,arxiv.org           ,arXiv preprint arXiv:2305.10310          ,https://arxiv.org/abs/2305.10310                                              ,      16
  11 ,"K Nakaji, S Uno, Y Suzuki, R Raymond, T Onodera…"     ,Approximate amplitude encoding in shallow parameterized quantum circuits and its application to financial market indicators                     ,       83 ,2022 ,APS                 ,Physical Review …                        ,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.4.023136 ,      28
  12 ,"C Feng, B Zhao, X Zhou, X Ding, Z Shan"               ,An enhanced quantum K-nearest neighbor classification algorithm based on polar distance                                                         ,       30 ,2023 ,mdpi.com            ,Entropy                                  ,https://www.mdpi.com/1099-4300/25/1/127                                       ,      15
  13 ,"U Çalikyilmaz, S Groppe, J Groppe, T Winker…"         ,Opportunities for quantum acceleration of databases: optimization of queries and transaction schedules                                          ,       18 ,2023 ,dl.acm.org          ,Proceedings of the …                     ,https://dl.acm.org/doi/abs/10.14778/3598581.3598603                           ,       9
  14 ,"R Vale, TMD Azevedo, I Araújo, IF Araujo…"            ,Decomposition of multi-controlled special unitary single-qubit gates                                                                            ,       16 ,2023 ,arxiv.org           ,arXiv preprint arXiv …                   ,https://arxiv.org/abs/2302.06377                                              ,       8
  15 ,"IF Araujo, DK Park, TB Ludermir, WR Oliveira…"        ,Configurable sublinear circuits for quantum state preparation                                                                                   ,       35 ,2023 ,Springer            ,Quantum Information …                    ,https://link.springer.com/article/10.1007/s11128-023-03869-7                  ,      18
  16 ,"S Moradi, C Brandner, C Spielvogel, D Krajnc…"        ,Clinical data classification with noisy intermediate scale quantum computers                                                                    ,       30 ,2022 ,nature.com          ,Scientific reports                       ,https://www.nature.com/articles/s41598-022-05971-9                            ,      10
  17 ,"J Zheng, Q Gao, J Lü, M Ogorzałek, Y Pan…"            ,Design of a quantum convolutional neural network on quantum circuits                                                                            ,       15 ,2023 ,Elsevier            ,Journal of the Franklin …                ,https://www.sciencedirect.com/science/article/pii/S0016003222005166           ,       8
  18 ,"P Yuan, S Zhang"                                      ,Optimal (controlled) quantum state preparation and improved unitary synthesis by quantum circuits with any number of ancillary qubits           ,       22 ,   0 ,journal.org         ,                                         ,https://quantum-journal.org/papers/q-2023-03-20-956/                          ,       0
  19 ,"B Duan, CY Hsieh"                                     ,Compact and classically preprocessed data-loading quantum circuit as a quantum random access memory                                             ,        1 ,2024 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.110.012616             ,       1
  20 ,"TML de Veras, LD da Silva, AJ da Silva"               ,Double sparse quantum state preparation                                                                                                         ,       29 ,2022 ,Springer            ,Quantum Information Processing           ,https://link.springer.com/article/10.1007/s11128-022-03549-y                  ,      10
  21 ,"A Poggiali, A Berti, A Bernasconi, GM Del Corso…"     ,Quantum clustering with k-means: A hybrid approach                                                                                              ,       19 ,2024 ,Elsevier            ,Theoretical Computer …                   ,https://www.sciencedirect.com/science/article/pii/S0304397524000811           ,      19
  22 ,"C Liu, M Wang, SA Stein, Y Ding, A Li"                ,Quantum memory: A missing piece in quantum computing units                                                                                      ,        9 ,2023 ,arxiv.org           ,arXiv preprint arXiv:2309.14432          ,https://arxiv.org/abs/2309.14432                                              ,       4
  23 ,"C Blank, AJ Da Silva, LP de Albuquerque…"             ,Compact quantum kernel-based binary classifier                                                                                                  ,       15 ,2022 ,iopscience.iop.org  ,Quantum Science …                        ,https://iopscience.iop.org/article/10.1088/2058-9565/ac7ba3/meta              ,       5
  24 ,S Ashhab                                               ,Quantum state preparation protocol for encoding classical data into the amplitudes of a quantum information processing register's wave function ,       22 ,2022 ,APS                 ,Physical Review Research                 ,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.4.013091 ,       7
  25 ,"J Luo, L Li"                                          ,Circuit complexity of sparse quantum state preparation                                                                                          ,        3 ,2024 ,arxiv.org           ,arXiv preprint arXiv:2406.16142          ,https://arxiv.org/abs/2406.16142                                              ,       3
  26 ,"J Allcock, J Bao, JF Doriguello, A Luongo…"           ,Constant-depth circuits for Uniformly Controlled Gates and Boolean functions with application to quantum memory circuits                        ,        8 ,2023 ,arxiv.org           ,arXiv preprint arXiv …                   ,https://arxiv.org/abs/2308.08539                                              ,       4
  27 ,"JDS Silva, TMD Azevedo, IF Araujo…"                   ,Linear decomposition of approximate multi-controlled single qubit gates                                                                         ,        4 ,2024 ,ieeexplore.ieee.org ,IEEE Transactions on …                   ,https://ieeexplore.ieee.org/abstract/document/10701053/                       ,       4
  28 ,"E Dri, A Aita, T Fioravanti, G Franco…"               ,Towards an end-to-end approach for quantum principal component analysis                                                                         ,        4 ,2023 ,ieeexplore.ieee.org ,2023 IEEE …                              ,https://ieeexplore.ieee.org/abstract/document/10313821/                       ,       2
  29 ,"B Jobst, K Shen, CA Riofrío, E Shishenina…"           ,Efficient MPS representations and quantum circuits from the Fourier modes of classical image data                                               ,        6 ,2023 ,arxiv.org           ,arXiv preprint arXiv …                   ,https://arxiv.org/abs/2311.07666                                              ,       3
  30 ,"H Sati, U Schreiber"                                  ,The Quantum Monadology                                                                                                                          ,        5 ,2023 ,arxiv.org           ,arXiv preprint arXiv:2310.15735          ,https://arxiv.org/abs/2310.15735                                              ,       2
  31 ,"Q Li, Y Huang, X Hou, Y Li, X Wang, A Bayat"          ,Ensemble-learning error mitigation for variational quantum shallow-circuit classifiers                                                          ,        8 ,2024 ,APS                 ,Physical Review Research                 ,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.013027 ,       8
  32 ,"S Zhang, J Wu, L Li"                                  ,"Characterization, synthesis, and optimization of quantum circuits over multiple-control -rotation gates: A systematic study"                   ,        4 ,2023 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.108.022603             ,       2
  33 ,"R Mao, G Tian, X Sun"                                 ,Toward optimal circuit size for sparse quantum state preparation                                                                                ,        1 ,2024 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.110.032439             ,       1
  34 ,"S Wang, Z Wang, R He, S Shi, G Cui…"                  ,Inverse-coefficient black-box quantum state preparation                                                                                         ,        9 ,2022 ,iopscience.iop.org  ,New Journal of …                         ,https://iopscience.iop.org/article/10.1088/1367-2630/ac93a8/meta              ,       3
  35 ,"IF Araujo, C Blank, ICS Araújo…"                      ,Low-rank quantum state preparation                                                                                                              ,       20 ,2023 ,ieeexplore.ieee.org ,IEEE Transactions on …                   ,https://ieeexplore.ieee.org/abstract/document/10190145/                       ,      10
  36 ,P Mukhopadhyay                                         ,A quantum random access memory (QRAM) using a polynomial encoding of binary strings                                                             ,        1 ,2024 ,arxiv.org           ,arXiv preprint arXiv:2408.16794          ,https://arxiv.org/abs/2408.16794                                              ,       1
  37 ,"R Vale, TMD Azevedo, ICS Araújo…"                     ,Circuit decomposition of multi-controlled special unitary single-qubit gates                                                                    ,        7 ,2023 ,ieeexplore.ieee.org ,Aided …                                  ,https://ieeexplore.ieee.org/abstract/document/10293178/                       ,       4
  38 ,"S Daimon, Y Matsushita"                               ,Quantum circuit generation for amplitude encoding using a transformer decoder                                                                   ,        0 ,2024 ,APS                 ,Physical Review Applied                  ,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.22.L041001 ,       0
  39 ,"N Mitsuda, T Ichimura, K Nakaji, Y Suzuki, T Tanaka…" ,Approximate complex amplitude encoding algorithm and its application to data classification problems                                            ,       10 ,2024 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.109.052423             ,      10
  40 ,"B Duan, CY Hsieh"                                     ,Hamiltonian-based data loading with shallow quantum circuits                                                                                    ,        5 ,2022 ,APS                 ,Physical Review A                        ,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.106.052422             ,       2
  41 ,"A Hosaka, K Yanagisawa, S Koshikawa, I Kudo…"         ,Preconditioning for a variational quantum linear solver                                                                                         ,        5 ,2023 ,arxiv.org           ,arXiv preprint arXiv …                   ,https://arxiv.org/abs/2312.15657                                              ,       2
  42 ,"A Sinha, ER Henderson, JM Henderson…"                 ,Automated quantum memory compilation with improved dynamic range                                                                                ,        4 ,2022 ,ieeexplore.ieee.org ,2022 IEEE/ACM …                          ,https://ieeexplore.ieee.org/abstract/document/10025532/                       ,       1
  43 ,"K Phalak, J Li, S Ghosh"                              ,Approximate quantum random access memory architectures                                                                                          ,        6 ,2022 ,arxiv.org           ,arXiv preprint arXiv:2210.14804          ,https://arxiv.org/abs/2210.14804                                              ,       2
  44 ,"MA Khan, MN Aman, B Sikdar"                           ,Beyond Bits: A Review of Quantum Embedding Techniques for Efficient Information Processing                                                      ,        3 ,2024 ,ieeexplore.ieee.org ,IEEE Access                              ,https://ieeexplore.ieee.org/abstract/document/10479501/                       ,       3
  45 ,"JJ Park, K Baek, MS Kim, H Nha, J Kim…"               ,T-depth-optimized quantum search with quantum data-access machine                                                                               ,        3 ,2023 ,iopscience.iop.org  ,Quantum Science and …                    ,https://iopscience.iop.org/article/10.1088/2058-9565/ad04e5/meta              ,       2
