Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,E Campbell,A series of fast-paced advances in Quantum Error Correction,10,2024, nature.com, Nature Reviews Physics,https://www.nature.com/articles/s42254-024-00706-3,10
2,"Q Xu, JP Bonilla Ataides, CA Pattison, N Raveendran…",Constant-overhead fault-tolerant quantum computation with reconfigurable atom arrays,81,2024, nature.com, Nature Physics,https://www.nature.com/articles/s41567-024-02479-z,81
3,"PS Tarabunga, E Tirrito, MC Bañuls, M Dalmonte",Nonstabilizerness via matrix product states in the pauli basis,26,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.010601,26
4,"S Anand, CE Bradley, R White, V Ramesh, K Singh…",A dual-species Rydberg array,17,2024, nature.com, Nature Physics,https://www.nature.com/articles/s41567-024-02638-2,17
5,"A Cao, WJ Eckner, T Lukin Yelin, AW Young…",Multi-qubit gates and Schrödinger cat states in an optical clock,19,2024, nature.com, Nature,https://www.nature.com/articles/s41586-024-07913-z,19
6,"A Morvan, B Villalonga, X Mi, S Mandra…",Phase transition in random circuit sampling,85,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2304.11119,42
7,"A Pyrkov, A Aliper, D Bezrukov…",Complexity of life sciences in quantum and AI era,4,2024, Wiley Online Library, Wiley …,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1701,4
8,"MA Norcia, H Kim, WB Cairncross, M Stone, A Ryou…",Iterative Assembly of  Atom Arrays with Cavity-Enhanced Optical Lattices,24,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030316,24
9,"L Postler, F Butt, I Pogorelov, CD Marciniak, S Heußen…",Demonstration of fault-tolerant steane quantum error correction,17,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030326,17
10,"R Finkelstein, RBS Tsai, X Sun, P Scholl, S Direkci…",Universal quantum operations and ancilla-based read-out for tweezer clocks,14,2024, nature.com, Nature,https://www.nature.com/articles/s41586-024-08005-8,14
11,"M Frau, PS Tarabunga, M Collura, M Dalmonte…",Nonstabilizerness versus entanglement in matrix product states,19,2024, APS, Physical Review B,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.110.045101,19
12,"AN Ciavarella, CW Bauer",Quantum Simulation of SU(3) Lattice Yang-Mills Theory at Leading Order in Large- Expansion,13,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.111901,13
13,"F Gyger, M Ammenwerth, R Tao, H Timme…",Continuous operation of large-scale atom arrays in optical lattices,20,2024, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.033104,20
14,"RC Farrell, M Illa, AN Ciavarella, MJ Savage",Quantum simulations of hadron dynamics in the Schwinger model using 112 qubits,54,2024, APS, Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.109.114510,54
15,"R Acharya, L Aghababaie-Beni, I Aleiner…",Quantum error correction below the surface code threshold,21,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.13687,21
16,"G Bornet, G Emperauger, C Chen, F Machado…",Enhancing a many-body dipolar Rydberg tweezer array with arbitrary local controls,10,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.263601,10
17,"A Katabarwa, K Gratsea, A Caesura, PD Johnson",Early fault-tolerant quantum computing,18,2024, APS, PRX Quantum,https://link.aps.org/pdf/10.1103/PRXQuantum.5.020101,18
18,"J Ye, P Zoller","Essay: Quantum Sensing with Atomic, Molecular, and Optical Platforms for Fundamental Physics",32,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.190001,32
